datetime,co2content,temperature
2023-11-22 09:51:44,3205.46,18.05
2023-11-22 10:03:57,2101.53,18.4
2023-11-22 10:16:12,635.84,17.08
2023-11-22 10:28:26,500.15,16.31
2023-11-22 10:40:40,455.69,15.91
2023-11-22 10:52:54,461.84,15.61
2023-11-22 11:05:08,451.84,15.35
2023-11-22 11:17:22,438.23,15.16
2023-11-22 11:29:36,436.69,14.97
2023-11-22 11:41:50,462.07,14.92
2023-11-22 11:54:04,559.07,15.6
2023-11-22 12:06:18,705.0,16.8
2023-11-22 12:18:32,1094.46,17.76
2023-11-22 12:30:46,1547.61,18.74
2023-11-22 12:43:00,1983.92,19.49
2023-11-22 12:55:14,2060.46,19.72
2023-11-22 13:07:29,1155.07,19.05
2023-11-22 13:19:46,881.38,18.75
2023-11-22 13:31:56,773.84,18.65
2023-11-22 13:44:17,789.92,18.69
2023-11-22 13:56:25,845.92,19.2
2023-11-22 14:08:38,891.61,19.61
2023-11-22 14:20:53,921.92,19.95
2023-11-22 14:33:07,989.92,20.08
2023-11-22 14:45:20,1061.3,20.11
2023-11-22 14:57:35,1148.61,20.12
2023-11-22 15:09:49,1255.46,20.06
2023-11-22 15:22:03,1288.0,19.98
2023-11-22 15:34:17,1304.0,19.94
2023-11-22 15:46:31,1302.3,19.89
2023-11-22 15:58:45,1311.3,19.82
2023-11-22 16:11:02,1305.53,19.78
2023-11-22 16:23:13,1304.15,19.77
2023-11-22 16:35:27,1314.46,19.73
2023-11-22 16:47:41,1319.07,19.71
2023-11-22 16:59:55,1325.15,19.68
2023-11-22 17:12:09,1326.53,19.66
2023-11-22 17:24:26,1317.15,19.61
2023-11-22 17:36:40,1306.76,19.55
2023-11-22 17:48:51,1298.76,19.52
2023-11-22 18:01:05,1307.07,19.5
2023-11-22 18:13:22,1306.07,19.48
2023-11-22 18:25:33,1301.84,19.46
2023-11-22 18:37:47,1295.92,19.43
2023-11-22 18:50:01,1294.76,19.41
2023-11-22 19:02:15,1293.92,19.41
2023-11-22 19:14:29,1291.61,19.41
2023-11-22 19:26:43,1276.46,19.39
2023-11-22 19:38:57,1288.38,19.38
2023-11-22 19:51:14,1278.69,19.4
2023-11-22 20:03:25,1269.0,19.39
2023-11-22 20:15:39,1256.92,19.38
2023-11-22 20:27:53,1252.61,19.34
2023-11-22 20:40:07,1250.69,19.31
2023-11-22 20:52:21,1235.61,19.31
2023-11-22 21:04:35,1234.07,19.31
2023-11-22 21:16:49,1232.3,19.27
2023-11-22 21:29:03,1214.38,19.27
2023-11-22 21:41:17,1211.3,19.23
2023-11-22 21:53:31,1195.0,19.25
2023-11-22 22:05:45,1187.53,19.25
2023-11-22 22:17:59,1171.61,19.24
2023-11-22 22:30:13,1160.38,19.23
2023-11-22 22:42:27,1149.23,19.22
2023-11-22 22:54:41,1140.3,19.23
2023-11-22 23:06:55,1128.53,19.23
2023-11-22 23:19:12,1117.76,19.25
2023-11-22 23:31:23,1099.92,19.24
2023-11-22 23:43:37,1096.07,19.24
2023-11-22 23:55:51,1085.46,19.23
2023-11-23 00:08:05,1077.3,19.24
2023-11-23 00:20:19,1060.0,19.24
2023-11-23 00:32:33,1051.61,19.26
2023-11-23 00:44:47,1045.38,19.25
2023-11-23 00:57:01,1036.15,19.24
2023-11-23 01:09:15,1025.84,19.24
2023-11-23 01:21:29,1011.61,19.24
2023-11-23 01:33:42,1004.61,19.25
2023-11-23 01:45:57,998.76,19.23
2023-11-23 01:58:10,978.0,19.22
2023-11-23 02:10:25,972.15,19.21
2023-11-23 02:22:39,967.92,19.23
2023-11-23 02:34:53,964.07,19.24
2023-11-23 02:47:07,960.92,19.24
2023-11-23 02:59:21,947.3,19.24
2023-11-23 03:11:35,942.53,19.21
2023-11-23 03:23:48,940.46,19.21
2023-11-23 03:36:03,926.53,19.23
2023-11-23 03:48:20,920.76,19.24
2023-11-23 04:00:34,917.84,19.24
2023-11-23 04:12:48,914.38,19.25
2023-11-23 04:24:59,905.53,19.25
2023-11-23 04:37:13,893.15,19.23
2023-11-23 04:49:26,897.15,19.22
2023-11-23 05:01:41,884.53,19.24
2023-11-23 05:13:55,888.69,19.23
2023-11-23 05:26:09,889.53,19.15
2023-11-23 05:38:22,882.0,19.17
2023-11-23 05:50:37,861.38,19.25
2023-11-23 06:02:51,858.61,19.29
2023-11-23 06:15:05,847.3,19.29
2023-11-23 06:27:19,839.3,19.28
2023-11-23 06:39:33,839.92,19.28
